id,age,gender,race,driving_experience,education,income,vehicle_ownership,vehicle_year,married,children,postal_code,vehicle_type,speeding_violations,DUIs,past_accidents,outcome,telematic_score,credit_scores,annual_mileages,monthly_mileages
24851,16-25,male,majority,0-9y,none,very low,False,before 2015,True,False,32765,sedan,0,0,0,True,52.47564316322378,0.515812809602791,12000.0,1000.0
104086,26-39,female,majority,0-9y,university,high,True,before 2015,False,True,32765,sedan,0,0,0,True,43.19450186421157,0.6805942795073384,11697.003206900365,974.750267241697
240658,16-25,female,majority,0-9y,high school,low,True,before 2015,False,True,10238,sedan,0,0,0,True,29.122914019804192,0.4177139816231188,18000.0,1500.0
484399,16-25,female,majority,0-9y,high school,low,False,before 2015,False,False,10238,sedan,0,0,0,True,61.18528947223795,0.4095135306516067,17000.0,1416.666666666667
912828,16-25,male,majority,0-9y,high school,medium,True,after 2015,True,True,32765,sedan,0,0,0,True,13.949386065204186,0.5532600531952381,8000.0,666.6666666666666
892754,40-64,male,majority,20-29y,none,very low,True,before 2015,True,True,10238,sedan,3,1,1,False,29.21446485352181,0.3309502618581893,13000.0,1083.3333333333333
217,16-25,male,majority,0-9y,none,very low,False,before 2015,False,False,10238,sedan,0,0,0,False,36.63618432936917,0.515812809602791,17000.0,1416.666666666667
633896,65+,male,majority,30y+,high school,high,True,before 2015,True,True,32765,sedan,13,2,3,False,45.60699842170361,0.5006306604427161,7000.0,583.3333333333334
193110,26-39,female,majority,10-19y,university,medium,True,before 2015,True,False,10238,sports car,0,0,0,False,78.51759613930136,0.5519701813636283,14000.0,1166.6666666666667
98515,40-64,male,majority,10-19y,high school,medium,True,before 2015,False,False,10238,sedan,1,1,0,False,19.96737821583597,0.6269960497386653,13000.0,1083.3333333333333
165623,26-39,male,majority,10-19y,none,very low,True,before 2015,True,False,10238,sedan,0,0,1,False,51.42344384136116,0.2947974807719967,15000.0,1250.0
493590,26-39,male,majority,10-19y,university,medium,False,after 2015,False,False,10238,sedan,0,0,1,False,59.241456886204254,0.5519504952618395,17000.0,1416.666666666667
389792,65+,male,majority,0-9y,university,high,True,after 2015,True,True,32765,sedan,0,0,0,True,4.645041271999774,0.649820471216227,9000.0,750.0
642614,40-64,male,majority,20-29y,high school,medium,True,after 2015,True,True,92101,sedan,2,0,1,False,60.75448519014384,0.5218044346397632,7000.0,583.3333333333334
951465,65+,female,majority,30y+,university,high,True,before 2015,True,True,10238,sedan,3,1,1,False,17.052412368729154,0.7012683240604196,10000.0,833.3333333333335
496987,16-25,male,majority,0-9y,none,very low,True,before 2015,True,True,10238,sedan,0,0,0,False,6.5051592985279525,0.1712440288213211,9000.0,750.0
732437,16-25,male,majority,0-9y,none,very low,True,before 2015,False,True,32765,sedan,0,0,0,True,94.88855372533331,0.3184419972124171,10000.0,833.3333333333335
146897,26-39,female,majority,0-9y,high school,medium,True,before 2015,True,True,21217,sedan,0,0,0,True,96.56320330745594,0.6046842696715551,11000.0,916.6666666666665
316173,16-25,male,majority,0-9y,university,low,False,after 2015,False,False,32765,sedan,0,0,0,True,80.83973481164611,0.5049948526440377,8000.0,666.6666666666666
9013,26-39,male,majority,10-19y,high school,low,True,before 2015,False,True,10238,sedan,3,0,2,False,30.46137691733707,0.6251466352816216,17000.0,1416.666666666667
511757,40-64,female,majority,10-19y,none,medium,True,before 2015,True,True,10238,sedan,2,0,1,False,9.767211400638388,0.515812809602791,11000.0,916.6666666666665
429947,65+,male,majority,30y+,university,high,False,after 2015,False,True,10238,sports car,6,0,5,False,68.42330265121569,0.515812809602791,12000.0,1000.0
485660,40-64,male,majority,10-19y,university,high,True,before 2015,False,True,92101,sedan,1,0,1,False,44.01524937396013,0.5781305873212035,14000.0,1166.6666666666667
80496,65+,male,majority,30y+,high school,high,True,before 2015,True,True,10238,sedan,5,1,3,False,12.203823484477885,0.7054542902137054,10000.0,833.3333333333335
478336,40-64,male,majority,20-29y,university,high,True,after 2015,False,True,10238,sedan,4,0,2,False,49.51769101112702,0.6595254905875941,16000.0,1333.3333333333333
10843,40-64,male,majority,20-29y,university,high,False,after 2015,True,True,32765,sedan,10,2,0,False,3.43885211152184,0.5873836120460223,9000.0,750.0
397446,16-25,male,majority,0-9y,none,very low,False,before 2015,False,False,10238,sedan,0,0,0,True,90.9320402078782,0.4064824253974476,16000.0,1333.3333333333333
101678,26-39,female,majority,10-19y,high school,very low,False,before 2015,False,True,10238,sedan,1,0,0,True,25.87799816000169,0.2857471319596469,13000.0,1083.3333333333333
231661,40-64,male,majority,20-29y,high school,medium,False,before 2015,False,False,10238,sports car,3,0,4,False,66.25222843539821,0.5022849652731057,14000.0,1166.6666666666667
173782,65+,male,majority,20-29y,high school,high,True,after 2015,True,True,10238,sedan,7,0,5,False,31.171107608941092,0.6256257210210231,7000.0,583.3333333333334
921097,40-64,female,majority,20-29y,university,high,True,after 2015,True,True,92101,sedan,3,0,2,False,52.00680211778108,0.515812809602791,11000.0,916.6666666666665
98839,26-39,female,minority,10-19y,university,low,True,before 2015,False,True,32765,sedan,1,0,0,False,54.67102793432797,0.3931531299744003,12000.0,1000.0
105372,26-39,female,minority,10-19y,none,low,False,before 2015,False,True,10238,sedan,1,0,0,False,18.4854455525527,0.5039497598168121,14000.0,1166.6666666666667
888828,40-64,male,majority,20-29y,university,high,True,before 2015,True,False,10238,sedan,3,0,2,False,96.95846277645586,0.6586274302571438,14000.0,1166.6666666666667
37454,26-39,female,majority,0-9y,high school,low,False,before 2015,False,False,10238,sedan,0,0,0,True,77.51328233611144,0.5241464657501199,17000.0,1416.666666666667
370044,65+,male,majority,20-29y,university,high,False,after 2015,True,True,32765,sedan,9,0,1,False,93.94989415641892,0.5531007570628673,7000.0,583.3333333333334
768282,16-25,female,majority,0-9y,university,low,False,before 2015,True,True,10238,sedan,0,0,0,True,89.48273504276489,0.4475509489142775,8000.0,666.6666666666666
738729,16-25,female,majority,0-9y,none,low,True,before 2015,True,True,10238,sedan,0,0,0,True,59.789997881108505,0.5107331365064207,7000.0,583.3333333333334
437535,26-39,female,majority,10-19y,high school,medium,True,after 2015,True,False,10238,sedan,0,0,0,False,92.18742350231169,0.515812809602791,15000.0,1250.0
329536,16-25,female,majority,0-9y,high school,very low,False,before 2015,False,False,32765,sedan,0,0,0,True,8.84925020519195,0.4613735917269193,9000.0,750.0
328531,40-64,female,majority,20-29y,university,medium,False,after 2015,False,True,32765,sedan,2,0,1,False,19.59828624191452,0.3875569443647317,12000.0,1000.0
123941,40-64,female,majority,20-29y,university,medium,True,after 2015,True,True,10238,sedan,0,0,0,False,4.522728891053807,0.5701572256616224,11697.003206900365,974.750267241697
131881,26-39,male,majority,10-19y,university,low,True,before 2015,False,False,10238,sedan,0,1,0,False,32.533033076326426,0.5501250875743224,16000.0,1333.3333333333333
839572,40-64,male,majority,20-29y,high school,low,False,before 2015,True,True,10238,sedan,3,0,1,False,38.8677289689482,0.4529442316093683,12000.0,1000.0
171578,26-39,male,majority,10-19y,university,high,True,before 2015,True,True,10238,sedan,2,0,1,False,27.13490317738959,0.515812809602791,8000.0,666.6666666666666
589757,40-64,female,majority,20-29y,high school,high,True,before 2015,True,True,92101,sedan,2,0,0,False,82.87375091519294,0.5352743096602144,7000.0,583.3333333333334
336859,16-25,female,majority,0-9y,university,medium,True,before 2015,False,True,10238,sedan,0,0,0,True,35.67533266935893,0.6147359485632915,15000.0,1250.0
788111,40-64,female,minority,20-29y,high school,very low,True,before 2015,True,True,10238,sedan,1,0,1,False,28.093450968738075,0.4544471564329259,11697.003206900365,974.750267241697
407453,40-64,female,majority,0-9y,university,high,True,before 2015,False,False,10238,sedan,0,0,0,False,54.269608315824854,0.6137409183819416,11697.003206900365,974.750267241697
367026,40-64,female,minority,10-19y,high school,low,True,before 2015,True,True,10238,sedan,0,0,0,False,14.092422497476266,0.5326613280250595,11000.0,916.6666666666665
334687,40-64,female,minority,0-9y,university,medium,True,before 2015,False,False,10238,sedan,0,0,0,True,80.21969807540397,0.4277285143019345,15000.0,1250.0
623367,65+,male,majority,20-29y,university,high,True,before 2015,True,True,32765,sedan,4,1,4,False,7.455064367977082,0.6859457213719147,5000.0,416.66666666666674
688440,65+,male,majority,10-19y,university,high,True,before 2015,True,True,10238,sedan,2,0,0,False,98.68869366005173,0.6936124267187082,10000.0,833.3333333333335
547974,65+,male,majority,20-29y,high school,high,False,before 2015,True,True,10238,sedan,2,1,7,True,77.22447692966574,0.5979905963582334,12000.0,1000.0
989064,26-39,male,majority,0-9y,none,very low,False,after 2015,True,True,10238,sedan,0,0,0,True,19.87156815341724,0.3308186664986927,12000.0,1000.0
422816,40-64,male,majority,20-29y,high school,low,True,before 2015,False,False,10238,sedan,5,0,7,False,0.5522117123602399,0.515812809602791,12000.0,1000.0
307408,26-39,female,minority,10-19y,none,low,True,before 2015,False,True,10238,sedan,2,0,0,False,81.54614284548342,0.515812809602791,9000.0,750.0
675898,16-25,male,majority,0-9y,high school,medium,True,before 2015,False,True,10238,sedan,0,0,0,False,70.68573438476172,0.5083042183803546,16000.0,1333.3333333333333
480452,26-39,female,majority,0-9y,university,high,True,before 2015,True,True,10238,sedan,0,0,0,False,72.90071680409874,0.7641329165005233,12000.0,1000.0
93199,40-64,female,majority,0-9y,university,medium,True,after 2015,True,True,10238,sedan,0,0,0,False,77.12703466859458,0.4775169603837716,14000.0,1166.6666666666667
125802,40-64,female,majority,20-29y,university,high,True,before 2015,True,True,10238,sedan,0,0,1,False,7.4044651734090365,0.6812332078486962,10000.0,833.3333333333335
616663,40-64,male,majority,0-9y,university,high,True,after 2015,False,False,10238,sedan,0,0,0,False,35.84657285442726,0.4671555457007022,16000.0,1333.3333333333333
423497,16-25,female,majority,0-9y,high school,low,True,before 2015,False,False,10238,sedan,0,0,0,True,11.586905952512973,0.3941632454999797,16000.0,1333.3333333333333
492837,40-64,female,majority,10-19y,university,high,True,after 2015,True,True,10238,sedan,0,0,0,False,86.31034258755933,0.6610607322734078,14000.0,1166.6666666666667
422563,40-64,male,majority,20-29y,university,high,False,before 2015,False,True,10238,sedan,2,0,1,False,62.32981268275579,0.6651879748430346,14000.0,1166.6666666666667
185231,16-25,female,majority,0-9y,high school,medium,True,before 2015,False,True,10238,sedan,0,0,0,False,33.08980248526492,0.560770206632082,11000.0,916.6666666666665
949152,26-39,female,majority,10-19y,university,high,False,after 2015,False,False,32765,sedan,0,0,0,False,6.355835028602363,0.7454327103696547,9000.0,750.0
859453,26-39,male,majority,10-19y,university,medium,True,before 2015,True,True,10238,sedan,1,0,2,False,31.09823217156622,0.53257435224505,13000.0,1083.3333333333333
466578,26-39,female,majority,10-19y,high school,medium,True,after 2015,False,True,10238,sedan,0,0,0,False,32.518332202674706,0.5267473391434415,14000.0,1166.6666666666667
998214,16-25,female,minority,0-9y,none,very low,False,before 2015,False,False,10238,sedan,0,0,0,True,72.96061783380641,0.4124517461654282,14000.0,1166.6666666666667
828462,40-64,male,majority,20-29y,high school,low,False,before 2015,False,True,10238,sedan,0,0,6,False,63.75574713552132,0.3871071449018297,16000.0,1333.3333333333333
511837,65+,male,majority,10-19y,high school,medium,True,before 2015,True,True,32765,sedan,3,1,1,False,88.72127425763266,0.5499938678343249,9000.0,750.0
554995,16-25,male,majority,0-9y,university,high,True,before 2015,True,True,10238,sports car,0,0,0,True,47.22149251619493,0.5853420947575604,12000.0,1000.0
680717,65+,male,majority,30y+,none,medium,True,before 2015,True,True,10238,sedan,6,1,3,False,11.959424593830173,0.5987396054343311,14000.0,1166.6666666666667
978021,40-64,male,majority,20-29y,university,high,True,after 2015,True,True,10238,sedan,4,0,6,False,71.3244787222995,0.6026557000791793,7000.0,583.3333333333334
509815,26-39,female,majority,0-9y,high school,low,True,after 2015,True,True,32765,sedan,0,0,0,False,76.07850486168972,0.5114570584803535,11697.003206900365,974.750267241697
6676,40-64,female,majority,20-29y,high school,high,False,before 2015,False,True,10238,sedan,3,0,2,False,56.12771975694962,0.5586591735288894,15000.0,1250.0
362280,40-64,male,majority,10-19y,high school,low,False,before 2015,False,False,10238,sedan,0,0,0,True,77.09671799545609,0.6284070137170304,13000.0,1083.3333333333333
883018,40-64,male,majority,0-9y,high school,low,True,before 2015,False,True,10238,sedan,0,0,0,False,49.379559636439076,0.5057903732571783,13000.0,1083.3333333333333
889355,26-39,female,majority,10-19y,university,high,True,before 2015,True,True,10238,sedan,2,0,0,False,52.27328293819941,0.7268184180645275,15000.0,1250.0
198273,65+,male,majority,20-29y,university,high,True,after 2015,True,True,32765,sedan,8,0,2,False,42.75410183585496,0.6904423335733175,9000.0,750.0
197763,40-64,male,majority,20-29y,university,high,False,after 2015,True,False,10238,sedan,1,0,2,False,2.5419126744095193,0.4796771646619314,14000.0,1166.6666666666667
55670,26-39,male,majority,10-19y,university,high,True,after 2015,True,True,10238,sedan,3,1,0,False,10.789142699330444,0.515812809602791,11000.0,916.6666666666665
545941,40-64,female,majority,20-29y,none,low,True,after 2015,True,True,10238,sedan,1,0,2,False,3.1429185686734247,0.4405592041968235,11000.0,916.6666666666665
814196,16-25,female,majority,0-9y,none,medium,True,before 2015,False,True,32765,sedan,0,0,0,True,63.64104112637804,0.634052597196068,11697.003206900365,974.750267241697
560160,16-25,female,majority,0-9y,high school,very low,False,before 2015,False,False,10238,sedan,0,0,0,False,31.43559810763267,0.4574695879943666,11697.003206900365,974.750267241697
320444,26-39,male,majority,0-9y,none,very low,False,before 2015,False,True,10238,sedan,0,0,0,False,50.85706911647028,0.3086490182004943,14000.0,1166.6666666666667
305793,16-25,male,majority,0-9y,high school,very low,False,before 2015,True,True,10238,sedan,0,0,0,True,90.7566473926093,0.2458351852340737,11000.0,916.6666666666665
362190,16-25,male,majority,0-9y,high school,very low,False,before 2015,False,False,10238,sedan,0,0,0,True,24.92922291488749,0.3056465190413162,14000.0,1166.6666666666667
62647,26-39,male,majority,10-19y,high school,high,True,before 2015,False,False,10238,sedan,2,0,1,False,41.038292303562976,0.7440140862681482,13000.0,1083.3333333333333
296948,40-64,male,majority,10-19y,university,high,True,after 2015,True,True,10238,sedan,0,0,0,False,75.55511385430486,0.6704645467899408,14000.0,1166.6666666666667
673660,65+,female,majority,30y+,high school,high,False,after 2015,True,True,10238,sedan,4,1,3,False,22.87981654916225,0.6830407984824192,10000.0,833.3333333333335
945867,16-25,male,majority,0-9y,university,medium,True,before 2015,False,False,10238,sedan,0,0,0,True,7.697990982879299,0.828628569053192,13000.0,1083.3333333333333
391880,65+,male,majority,30y+,none,medium,True,before 2015,True,True,32765,sedan,12,2,2,False,28.9751452913768,0.515812809602791,10000.0,833.3333333333335
241973,65+,female,majority,30y+,high school,high,True,before 2015,True,False,10238,sedan,2,0,2,False,16.122128725400444,0.6293380939717407,11000.0,916.6666666666665
429503,16-25,male,majority,0-9y,high school,very low,False,before 2015,False,True,10238,sedan,0,0,0,True,92.96976523425732,0.28372421050714003,15000.0,1250.0
810013,16-25,male,majority,0-9y,university,low,True,after 2015,False,False,10238,sports car,0,0,0,True,80.81203795644171,0.4576486815858435,14000.0,1166.6666666666667
663458,16-25,female,majority,0-9y,high school,very low,False,before 2015,False,False,10238,sedan,0,0,0,True,63.34037565104234,0.3049876423937953,15000.0,1250.0
879976,16-25,male,majority,0-9y,high school,low,False,before 2015,True,True,32765,sedan,0,0,0,True,87.14605901877177,0.5517442884135392,10000.0,833.3333333333335
418841,16-25,male,minority,0-9y,none,very low,True,before 2015,True,False,32765,sedan,0,0,0,True,80.36720768991145,0.3186855562451054,9000.0,750.0
542236,26-39,male,minority,10-19y,none,low,True,before 2015,False,False,10238,sedan,3,0,0,False,18.657005888603585,0.43694419415478103,12000.0,1000.0
937573,40-64,male,majority,10-19y,university,high,True,before 2015,True,True,32765,sedan,5,0,1,False,89.25589984899777,0.6291939843221722,7000.0,583.3333333333334
670850,16-25,male,majority,0-9y,university,low,True,before 2015,False,False,10238,sedan,0,0,0,True,53.93422419156507,0.4055600158887265,17000.0,1416.666666666667
151252,16-25,male,majority,0-9y,university,medium,True,before 2015,True,False,10238,sedan,0,0,0,False,80.74401551640625,0.6235462115803201,11000.0,916.6666666666665
706349,65+,male,majority,10-19y,university,high,True,before 2015,True,True,10238,sedan,1,1,2,False,89.60912999234932,0.7270329897821235,10000.0,833.3333333333335
602998,65+,male,majority,20-29y,none,low,True,before 2015,True,False,10238,sedan,3,1,7,False,31.80034749718639,0.426828388879915,14000.0,1166.6666666666667
242772,26-39,female,majority,10-19y,none,medium,True,before 2015,False,True,10238,sedan,1,2,0,False,11.005192452767675,0.5036589704487734,10000.0,833.3333333333335
393449,26-39,female,majority,10-19y,high school,medium,False,before 2015,False,False,10238,sedan,2,0,0,False,22.793516254194174,0.515812809602791,12000.0,1000.0
380740,65+,male,majority,30y+,university,high,True,after 2015,True,True,10238,sedan,2,0,3,False,42.71077886262563,0.7264400018455291,7000.0,583.3333333333334
938115,16-25,female,majority,0-9y,none,very low,False,before 2015,False,True,32765,sedan,0,0,0,True,81.80147659224932,0.2444900931240796,11697.003206900365,974.750267241697
727943,16-25,male,majority,0-9y,university,medium,True,before 2015,False,False,10238,sedan,0,0,0,True,86.07305832563435,0.5757707974509628,11000.0,916.6666666666665
766309,16-25,male,majority,0-9y,high school,very low,False,before 2015,False,False,10238,sports car,0,0,0,True,0.6952130531190703,0.515812809602791,10000.0,833.3333333333335
261229,16-25,male,majority,0-9y,university,low,True,after 2015,False,True,32765,sedan,0,0,0,True,51.07473025775657,0.468671965728324,9000.0,750.0
60866,65+,male,majority,20-29y,university,high,False,after 2015,False,True,10238,sedan,3,0,2,False,41.7411003148779,0.6970834558464781,13000.0,1083.3333333333333
752797,40-64,female,majority,20-29y,high school,low,True,before 2015,False,False,10238,sedan,1,1,0,False,22.210781047073027,0.5429181079423034,15000.0,1250.0
45002,65+,male,majority,30y+,high school,high,True,before 2015,True,True,10238,sedan,4,1,2,False,11.986536733368279,0.6722562535141292,9000.0,750.0
482448,16-25,male,majority,0-9y,none,very low,False,before 2015,False,False,32765,sedan,0,0,0,True,33.7615171403628,0.3864066185703315,8000.0,666.6666666666666
549142,16-25,male,majority,0-9y,university,medium,True,before 2015,True,True,10238,sedan,0,0,0,True,94.29097039125193,0.5512978330713669,12000.0,1000.0
95138,40-64,male,majority,20-29y,high school,medium,False,after 2015,True,False,10238,sedan,4,1,4,False,32.320293202075526,0.5985570254244251,14000.0,1166.6666666666667
851152,26-39,female,majority,10-19y,none,low,False,before 2015,True,True,10238,sedan,0,0,1,False,51.8790621743366,0.515812809602791,11697.003206900365,974.750267241697
615991,40-64,female,majority,20-29y,high school,high,True,after 2015,True,True,10238,sedan,2,0,1,False,70.30189588951778,0.5824219946087406,11000.0,916.6666666666665
424820,26-39,female,minority,10-19y,high school,medium,True,before 2015,True,True,10238,sedan,0,0,1,False,36.3629602379294,0.540182723180248,11697.003206900365,974.750267241697
807847,65+,male,majority,20-29y,university,high,True,after 2015,False,True,10238,sedan,3,1,4,False,97.17820827209609,0.6330139475122963,14000.0,1166.6666666666667
758983,40-64,male,majority,20-29y,high school,medium,True,after 2015,True,False,32765,sedan,6,0,3,False,96.24472949421111,0.552204630296896,12000.0,1000.0
987114,26-39,female,majority,0-9y,university,medium,False,before 2015,False,False,10238,sedan,0,0,0,True,25.178229582536417,0.3266816101781183,16000.0,1333.3333333333333
873457,40-64,male,minority,20-29y,high school,medium,True,before 2015,True,True,10238,sedan,7,1,1,False,49.724850589238535,0.5880825424047316,13000.0,1083.3333333333333
699703,65+,female,majority,0-9y,university,high,False,before 2015,True,True,92101,sedan,0,0,0,True,30.08783098167697,0.7022748020975709,10000.0,833.3333333333335
563342,65+,female,majority,0-9y,university,high,True,before 2015,False,True,10238,sedan,0,0,0,False,28.484049437746762,0.7266055391975765,13000.0,1083.3333333333333
504412,26-39,male,majority,10-19y,university,low,False,before 2015,True,True,10238,sedan,3,2,3,True,3.68869473545328,0.515812809602791,12000.0,1000.0
284106,65+,male,majority,30y+,university,high,True,before 2015,True,True,10238,sedan,5,1,5,False,60.956433397989684,0.73238212135242,12000.0,1000.0
78189,16-25,female,majority,0-9y,none,very low,True,before 2015,False,False,32765,sedan,0,0,0,True,50.26790232288615,0.2012839211827758,12000.0,1000.0
427520,26-39,male,majority,10-19y,university,medium,False,before 2015,False,False,10238,sedan,0,1,0,False,5.147875124998935,0.4641607076311848,16000.0,1333.3333333333333
689030,40-64,female,majority,20-29y,university,high,True,after 2015,True,False,92101,sedan,1,0,1,False,27.864646423661146,0.6579677428053038,13000.0,1083.3333333333333
966467,65+,male,majority,30y+,university,high,True,before 2015,True,True,10238,sedan,5,2,4,False,90.82658859666536,0.6002161554309658,13000.0,1083.3333333333333
288712,65+,male,majority,30y+,university,high,True,after 2015,True,True,10238,sedan,3,0,7,False,23.956189066697238,0.6663760181644964,12000.0,1000.0
228114,26-39,male,majority,0-9y,high school,low,True,before 2015,True,True,10238,sedan,0,0,0,False,14.48948720912231,0.4031472802313768,10000.0,833.3333333333335
63715,65+,male,majority,20-29y,university,high,True,before 2015,False,True,10238,sedan,5,1,5,False,48.9452760277563,0.4169350441301069,13000.0,1083.3333333333333
624077,65+,female,majority,30y+,none,high,True,before 2015,True,True,32765,sports car,10,0,1,False,98.56504541106008,0.5948797136778915,8000.0,666.6666666666666
726352,26-39,male,minority,10-19y,none,very low,False,before 2015,True,True,10238,sedan,1,0,1,False,24.20552715115004,0.3804265034620669,16000.0,1333.3333333333333
150072,16-25,female,majority,0-9y,none,very low,False,before 2015,False,False,21217,sedan,0,0,0,True,67.21355474058785,0.515812809602791,14000.0,1166.6666666666667
792396,65+,female,majority,30y+,university,high,True,before 2015,True,True,10238,sedan,1,2,2,False,76.16196153287176,0.680617632406099,12000.0,1000.0
768933,40-64,male,minority,0-9y,high school,low,True,before 2015,False,True,10238,sedan,0,0,0,True,23.763754399239968,0.3559504699938693,16000.0,1333.3333333333333
452356,40-64,female,majority,10-19y,none,medium,True,before 2015,False,True,32765,sedan,2,0,0,False,72.82163486118596,0.515812809602791,10000.0,833.3333333333335
849811,65+,female,minority,30y+,high school,high,True,after 2015,True,False,32765,sports car,3,0,1,False,36.77831327192532,0.587831426389767,11697.003206900365,974.750267241697
579336,65+,female,majority,10-19y,university,high,True,after 2015,True,True,10238,sedan,0,0,2,False,63.230583059357954,0.5733880426029547,10000.0,833.3333333333335
648922,16-25,male,majority,0-9y,university,medium,True,before 2015,False,False,10238,sedan,0,0,0,True,63.35297107608947,0.2964062828237805,13000.0,1083.3333333333333
47909,65+,male,majority,10-19y,university,high,True,before 2015,True,True,10238,sedan,1,0,4,False,53.577468407475855,0.4295096986208441,10000.0,833.3333333333335
619577,65+,female,majority,30y+,university,high,True,after 2015,False,True,92101,sedan,2,0,0,False,9.02897700544083,0.6885687186194461,11000.0,916.6666666666665
212678,65+,female,majority,20-29y,university,high,True,after 2015,False,True,32765,sedan,1,0,1,False,83.5302495589238,0.700017431968704,13000.0,1083.3333333333333
579720,26-39,male,majority,10-19y,university,low,False,before 2015,False,True,10238,sports car,0,0,1,True,32.078006497173575,0.4495886310379405,11697.003206900365,974.750267241697
995884,40-64,female,majority,20-29y,university,high,True,after 2015,True,False,10238,sedan,2,1,1,False,18.651851039985427,0.6900455818778344,11000.0,916.6666666666665
226326,40-64,female,minority,10-19y,university,low,True,after 2015,False,False,10238,sedan,0,0,1,False,4.077514155476392,0.4960298730510012,13000.0,1083.3333333333333
943922,26-39,male,majority,10-19y,university,high,False,after 2015,True,True,32765,sedan,8,0,0,False,59.08929431882418,0.6563457625165399,6000.0,500.0
510116,40-64,male,majority,0-9y,high school,medium,True,after 2015,False,True,10238,sedan,0,0,0,False,67.75643618422824,0.4983566259941653,12000.0,1000.0
536546,16-25,female,majority,0-9y,university,medium,True,before 2015,True,True,10238,sedan,0,0,0,False,1.6587828927856152,0.5463825431033477,12000.0,1000.0
75592,40-64,female,majority,10-19y,high school,low,True,before 2015,False,True,10238,sedan,0,0,1,False,51.209305829928105,0.3158628767091658,11000.0,916.6666666666665
487116,26-39,male,majority,10-19y,none,low,True,before 2015,False,False,10238,sedan,1,0,2,True,22.649577519793798,0.5300643171181573,11697.003206900365,974.750267241697
936820,26-39,female,majority,10-19y,high school,low,True,before 2015,False,True,32765,sedan,1,0,0,True,64.51727904094497,0.3578391720711443,12000.0,1000.0
634050,65+,male,majority,10-19y,university,high,True,after 2015,True,True,10238,sedan,1,0,2,False,17.436642900499145,0.672756052841708,9000.0,750.0
307397,40-64,male,majority,20-29y,university,high,True,after 2015,False,True,10238,sedan,2,0,2,False,69.09377381024659,0.7419993760301162,11697.003206900365,974.750267241697
558748,65+,female,majority,30y+,university,high,True,after 2015,True,True,10238,sedan,1,0,0,False,38.673534630053744,0.6226519789949738,11000.0,916.6666666666665
856630,16-25,female,majority,0-9y,high school,medium,False,after 2015,False,False,32765,sedan,0,0,0,True,93.67299887367344,0.4801406677163008,14000.0,1166.6666666666667
