id,age,gender,race,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,postal_code,annual_mileage,vehicle_type,speeding_violations,DUIs,past_accidents,outcome,telematic_score,monthly_mileage
429728,40-64,male,majority,20-29y,high school,high,0.6370447435902447,True,before 2015,True,True,10238,8000.0,sedan,4,1,2,False,83.24426408004217,666.6666666666666
569640,16-25,female,majority,0-9y,university,high,0.59125997174597,True,before 2015,False,True,10238,,sedan,0,0,0,False,21.233911067827616,
980181,26-39,male,majority,10-19y,high school,medium,0.4615679630439447,True,before 2015,True,True,10238,12000.0,sedan,0,2,1,False,18.182496720710063,1000.0
906223,26-39,female,majority,0-9y,high school,high,0.7627979410816134,False,after 2015,True,False,10238,,sedan,0,0,0,False,18.34045098534338,
517747,65+,male,majority,30y+,university,high,0.7961748462456987,True,before 2015,True,True,32765,,sedan,10,2,1,False,30.42422429595377,
24851,16-25,male,majority,0-9y,none,very low,,False,before 2015,True,False,32765,12000.0,sedan,0,0,0,True,52.475643163223786,1000.0
104086,26-39,female,majority,0-9y,university,high,0.6805942795073384,True,before 2015,False,True,32765,,sedan,0,0,0,True,43.194501864211574,
240658,16-25,female,majority,0-9y,high school,low,0.4177139816231188,True,before 2015,False,True,10238,18000.0,sedan,0,0,0,True,29.122914019804192,1500.0
484399,16-25,female,majority,0-9y,high school,low,0.4095135306516067,False,before 2015,False,False,10238,17000.0,sedan,0,0,0,True,61.18528947223795,1416.6666666666667
912828,16-25,male,majority,0-9y,high school,medium,0.5532600531952381,True,after 2015,True,True,32765,8000.0,sedan,0,0,0,True,13.949386065204184,666.6666666666666
892754,40-64,male,majority,20-29y,none,very low,0.3309502618581893,True,before 2015,True,True,10238,13000.0,sedan,3,1,1,False,29.214464853521815,1083.3333333333333
217,16-25,male,majority,0-9y,none,very low,,False,before 2015,False,False,10238,17000.0,sedan,0,0,0,False,36.63618432936917,1416.6666666666667
633896,65+,male,majority,30y+,high school,high,0.5006306604427161,True,before 2015,True,True,32765,7000.0,sedan,13,2,3,False,45.606998421703594,583.3333333333334
193110,26-39,female,majority,10-19y,university,medium,0.5519701813636283,True,before 2015,True,False,10238,14000.0,sports car,0,0,0,False,78.51759613930136,1166.6666666666667
98515,40-64,male,majority,10-19y,high school,medium,0.6269960497386653,True,before 2015,False,False,10238,13000.0,sedan,1,1,0,False,19.967378215835975,1083.3333333333333
165623,26-39,male,majority,10-19y,none,very low,0.2947974807719967,True,before 2015,True,False,10238,15000.0,sedan,0,0,1,False,51.42344384136116,1250.0
493590,26-39,male,majority,10-19y,university,medium,0.5519504952618395,False,after 2015,False,False,10238,17000.0,sedan,0,0,1,False,59.24145688620425,1416.6666666666667
389792,65+,male,majority,0-9y,university,high,0.649820471216227,True,after 2015,True,True,32765,9000.0,sedan,0,0,0,True,4.645041271999773,750.0
642614,40-64,male,majority,20-29y,high school,medium,0.5218044346397632,True,after 2015,True,True,92101,7000.0,sedan,2,0,1,False,60.75448519014384,583.3333333333334
951465,65+,female,majority,30y+,university,high,0.7012683240604196,True,before 2015,True,True,10238,10000.0,sedan,3,1,1,False,17.052412368729154,833.3333333333334
496987,16-25,male,majority,0-9y,none,very low,0.1712440288213211,True,before 2015,True,True,10238,9000.0,sedan,0,0,0,False,6.505159298527952,750.0
732437,16-25,male,majority,0-9y,none,very low,0.3184419972124171,True,before 2015,False,True,32765,10000.0,sedan,0,0,0,True,94.88855372533332,833.3333333333334
146897,26-39,female,majority,0-9y,high school,medium,0.6046842696715551,True,before 2015,True,True,21217,11000.0,sedan,0,0,0,True,96.56320330745594,916.6666666666666
316173,16-25,male,majority,0-9y,university,low,0.5049948526440377,False,after 2015,False,False,32765,8000.0,sedan,0,0,0,True,80.83973481164611,666.6666666666666
9013,26-39,male,majority,10-19y,high school,low,0.6251466352816216,True,before 2015,False,True,10238,17000.0,sedan,3,0,2,False,30.46137691733707,1416.6666666666667
511757,40-64,female,majority,10-19y,none,medium,,True,before 2015,True,True,10238,11000.0,sedan,2,0,1,False,9.767211400638388,916.6666666666666
429947,65+,male,majority,30y+,university,high,,False,after 2015,False,True,10238,12000.0,sports car,6,0,5,False,68.42330265121569,1000.0
485660,40-64,male,majority,10-19y,university,high,0.5781305873212035,True,before 2015,False,True,92101,14000.0,sedan,1,0,1,False,44.01524937396013,1166.6666666666667
80496,65+,male,majority,30y+,high school,high,0.7054542902137054,True,before 2015,True,True,10238,10000.0,sedan,5,1,3,False,12.203823484477883,833.3333333333334
478336,40-64,male,majority,20-29y,university,high,0.6595254905875941,True,after 2015,False,True,10238,16000.0,sedan,4,0,2,False,49.51769101112702,1333.3333333333333
10843,40-64,male,majority,20-29y,university,high,0.5873836120460223,False,after 2015,True,True,32765,9000.0,sedan,10,2,0,False,3.4388521115218396,750.0
397446,16-25,male,majority,0-9y,none,very low,0.4064824253974476,False,before 2015,False,False,10238,16000.0,sedan,0,0,0,True,90.9320402078782,1333.3333333333333
101678,26-39,female,majority,10-19y,high school,very low,0.2857471319596469,False,before 2015,False,True,10238,13000.0,sedan,1,0,0,True,25.87799816000169,1083.3333333333333
231661,40-64,male,majority,20-29y,high school,medium,0.5022849652731057,False,before 2015,False,False,10238,14000.0,sports car,3,0,4,False,66.2522284353982,1166.6666666666667
173782,65+,male,majority,20-29y,high school,high,0.6256257210210231,True,after 2015,True,True,10238,7000.0,sedan,7,0,5,False,31.171107608941096,583.3333333333334
921097,40-64,female,majority,20-29y,university,high,,True,after 2015,True,True,92101,11000.0,sedan,3,0,2,False,52.00680211778108,916.6666666666666
98839,26-39,female,minority,10-19y,university,low,0.3931531299744003,True,before 2015,False,True,32765,12000.0,sedan,1,0,0,False,54.67102793432797,1000.0
105372,26-39,female,minority,10-19y,none,low,0.5039497598168121,False,before 2015,False,True,10238,14000.0,sedan,1,0,0,False,18.485445552552704,1166.6666666666667
888828,40-64,male,majority,20-29y,university,high,0.6586274302571438,True,before 2015,True,False,10238,14000.0,sedan,3,0,2,False,96.95846277645586,1166.6666666666667
37454,26-39,female,majority,0-9y,high school,low,0.5241464657501199,False,before 2015,False,False,10238,17000.0,sedan,0,0,0,True,77.51328233611146,1416.6666666666667
370044,65+,male,majority,20-29y,university,high,0.5531007570628673,False,after 2015,True,True,32765,7000.0,sedan,9,0,1,False,93.9498941564189,583.3333333333334
768282,16-25,female,majority,0-9y,university,low,0.4475509489142775,False,before 2015,True,True,10238,8000.0,sedan,0,0,0,True,89.48273504276489,666.6666666666666
738729,16-25,female,majority,0-9y,none,low,0.5107331365064207,True,before 2015,True,True,10238,7000.0,sedan,0,0,0,True,59.78999788110851,583.3333333333334
437535,26-39,female,majority,10-19y,high school,medium,,True,after 2015,True,False,10238,15000.0,sedan,0,0,0,False,92.18742350231169,1250.0
329536,16-25,female,majority,0-9y,high school,very low,0.4613735917269193,False,before 2015,False,False,32765,9000.0,sedan,0,0,0,True,8.84925020519195,750.0
328531,40-64,female,majority,20-29y,university,medium,0.3875569443647317,False,after 2015,False,True,32765,12000.0,sedan,2,0,1,False,19.59828624191452,1000.0
123941,40-64,female,majority,20-29y,university,medium,0.5701572256616224,True,after 2015,True,True,10238,,sedan,0,0,0,False,4.522728891053807,
131881,26-39,male,majority,10-19y,university,low,0.5501250875743224,True,before 2015,False,False,10238,16000.0,sedan,0,1,0,False,32.53303307632643,1333.3333333333333
839572,40-64,male,majority,20-29y,high school,low,0.4529442316093683,False,before 2015,True,True,10238,12000.0,sedan,3,0,1,False,38.8677289689482,1000.0
171578,26-39,male,majority,10-19y,university,high,,True,before 2015,True,True,10238,8000.0,sedan,2,0,1,False,27.134903177389592,666.6666666666666
589757,40-64,female,majority,20-29y,high school,high,0.5352743096602144,True,before 2015,True,True,92101,7000.0,sedan,2,0,0,False,82.87375091519293,583.3333333333334
336859,16-25,female,majority,0-9y,university,medium,0.6147359485632915,True,before 2015,False,True,10238,15000.0,sedan,0,0,0,True,35.67533266935893,1250.0
788111,40-64,female,minority,20-29y,high school,very low,0.4544471564329259,True,before 2015,True,True,10238,,sedan,1,0,1,False,28.093450968738075,
407453,40-64,female,majority,0-9y,university,high,0.6137409183819416,True,before 2015,False,False,10238,,sedan,0,0,0,False,54.26960831582485,
367026,40-64,female,minority,10-19y,high school,low,0.5326613280250595,True,before 2015,True,True,10238,11000.0,sedan,0,0,0,False,14.092422497476264,916.6666666666666
334687,40-64,female,minority,0-9y,university,medium,0.4277285143019345,True,before 2015,False,False,10238,15000.0,sedan,0,0,0,True,80.21969807540397,1250.0
623367,65+,male,majority,20-29y,university,high,0.6859457213719147,True,before 2015,True,True,32765,5000.0,sedan,4,1,4,False,7.455064367977082,416.6666666666667
688440,65+,male,majority,10-19y,university,high,0.6936124267187082,True,before 2015,True,True,10238,10000.0,sedan,2,0,0,False,98.68869366005173,833.3333333333334
547974,65+,male,majority,20-29y,high school,high,0.5979905963582334,False,before 2015,True,True,10238,12000.0,sedan,2,1,7,True,77.22447692966574,1000.0
989064,26-39,male,majority,0-9y,none,very low,0.3308186664986927,False,after 2015,True,True,10238,12000.0,sedan,0,0,0,True,19.87156815341724,1000.0
422816,40-64,male,majority,20-29y,high school,low,,True,before 2015,False,False,10238,12000.0,sedan,5,0,7,False,0.5522117123602399,1000.0
307408,26-39,female,minority,10-19y,none,low,,True,before 2015,False,True,10238,9000.0,sedan,2,0,0,False,81.54614284548342,750.0
675898,16-25,male,majority,0-9y,high school,medium,0.5083042183803546,True,before 2015,False,True,10238,16000.0,sedan,0,0,0,False,70.68573438476172,1333.3333333333333
480452,26-39,female,majority,0-9y,university,high,0.7641329165005233,True,before 2015,True,True,10238,12000.0,sedan,0,0,0,False,72.90071680409874,1000.0
93199,40-64,female,majority,0-9y,university,medium,0.4775169603837716,True,after 2015,True,True,10238,14000.0,sedan,0,0,0,False,77.12703466859458,1166.6666666666667
125802,40-64,female,majority,20-29y,university,high,0.6812332078486962,True,before 2015,True,True,10238,10000.0,sedan,0,0,1,False,7.4044651734090365,833.3333333333334
616663,40-64,male,majority,0-9y,university,high,0.4671555457007022,True,after 2015,False,False,10238,16000.0,sedan,0,0,0,False,35.84657285442726,1333.3333333333333
423497,16-25,female,majority,0-9y,high school,low,0.3941632454999797,True,before 2015,False,False,10238,16000.0,sedan,0,0,0,True,11.586905952512971,1333.3333333333333
492837,40-64,female,majority,10-19y,university,high,0.6610607322734078,True,after 2015,True,True,10238,14000.0,sedan,0,0,0,False,86.31034258755935,1166.6666666666667
422563,40-64,male,majority,20-29y,university,high,0.6651879748430346,False,before 2015,False,True,10238,14000.0,sedan,2,0,1,False,62.329812682755794,1166.6666666666667
185231,16-25,female,majority,0-9y,high school,medium,0.560770206632082,True,before 2015,False,True,10238,11000.0,sedan,0,0,0,False,33.08980248526492,916.6666666666666
949152,26-39,female,majority,10-19y,university,high,0.7454327103696547,False,after 2015,False,False,32765,9000.0,sedan,0,0,0,False,6.355835028602364,750.0
859453,26-39,male,majority,10-19y,university,medium,0.53257435224505,True,before 2015,True,True,10238,13000.0,sedan,1,0,2,False,31.09823217156622,1083.3333333333333
466578,26-39,female,majority,10-19y,high school,medium,0.5267473391434415,True,after 2015,False,True,10238,14000.0,sedan,0,0,0,False,32.518332202674706,1166.6666666666667
998214,16-25,female,minority,0-9y,none,very low,0.4124517461654282,False,before 2015,False,False,10238,14000.0,sedan,0,0,0,True,72.96061783380641,1166.6666666666667
828462,40-64,male,majority,20-29y,high school,low,0.3871071449018297,False,before 2015,False,True,10238,16000.0,sedan,0,0,6,False,63.75574713552131,1333.3333333333333
511837,65+,male,majority,10-19y,high school,medium,0.5499938678343249,True,before 2015,True,True,32765,9000.0,sedan,3,1,1,False,88.72127425763266,750.0
554995,16-25,male,majority,0-9y,university,high,0.5853420947575604,True,before 2015,True,True,10238,12000.0,sports car,0,0,0,True,47.22149251619493,1000.0
680717,65+,male,majority,30y+,none,medium,0.5987396054343311,True,before 2015,True,True,10238,14000.0,sedan,6,1,3,False,11.959424593830171,1166.6666666666667
978021,40-64,male,majority,20-29y,university,high,0.6026557000791793,True,after 2015,True,True,10238,7000.0,sedan,4,0,6,False,71.3244787222995,583.3333333333334
509815,26-39,female,majority,0-9y,high school,low,0.5114570584803535,True,after 2015,True,True,32765,,sedan,0,0,0,False,76.07850486168974,
6676,40-64,female,majority,20-29y,high school,high,0.5586591735288894,False,before 2015,False,True,10238,15000.0,sedan,3,0,2,False,56.127719756949624,1250.0
362280,40-64,male,majority,10-19y,high school,low,0.6284070137170304,False,before 2015,False,False,10238,13000.0,sedan,0,0,0,True,77.0967179954561,1083.3333333333333
883018,40-64,male,majority,0-9y,high school,low,0.5057903732571783,True,before 2015,False,True,10238,13000.0,sedan,0,0,0,False,49.379559636439076,1083.3333333333333
889355,26-39,female,majority,10-19y,university,high,0.7268184180645275,True,before 2015,True,True,10238,15000.0,sedan,2,0,0,False,52.27328293819941,1250.0
198273,65+,male,majority,20-29y,university,high,0.6904423335733175,True,after 2015,True,True,32765,9000.0,sedan,8,0,2,False,42.75410183585496,750.0
197763,40-64,male,majority,20-29y,university,high,0.4796771646619314,False,after 2015,True,False,10238,14000.0,sedan,1,0,2,False,2.541912674409519,1166.6666666666667
55670,26-39,male,majority,10-19y,university,high,,True,after 2015,True,True,10238,11000.0,sedan,3,1,0,False,10.789142699330444,916.6666666666666
545941,40-64,female,majority,20-29y,none,low,0.4405592041968235,True,after 2015,True,True,10238,11000.0,sedan,1,0,2,False,3.142918568673425,916.6666666666666
814196,16-25,female,majority,0-9y,none,medium,0.634052597196068,True,before 2015,False,True,32765,,sedan,0,0,0,True,63.64104112637804,
560160,16-25,female,majority,0-9y,high school,very low,0.4574695879943666,False,before 2015,False,False,10238,,sedan,0,0,0,False,31.435598107632668,
320444,26-39,male,majority,0-9y,none,very low,0.3086490182004943,False,before 2015,False,True,10238,14000.0,sedan,0,0,0,False,50.85706911647028,1166.6666666666667
305793,16-25,male,majority,0-9y,high school,very low,0.2458351852340737,False,before 2015,True,True,10238,11000.0,sedan,0,0,0,True,90.7566473926093,916.6666666666666
362190,16-25,male,majority,0-9y,high school,very low,0.3056465190413162,False,before 2015,False,False,10238,14000.0,sedan,0,0,0,True,24.929222914887493,1166.6666666666667
62647,26-39,male,majority,10-19y,high school,high,0.7440140862681482,True,before 2015,False,False,10238,13000.0,sedan,2,0,1,False,41.038292303562976,1083.3333333333333
296948,40-64,male,majority,10-19y,university,high,0.6704645467899408,True,after 2015,True,True,10238,14000.0,sedan,0,0,0,False,75.55511385430486,1166.6666666666667
673660,65+,female,majority,30y+,high school,high,0.6830407984824192,False,after 2015,True,True,10238,10000.0,sedan,4,1,3,False,22.879816549162246,833.3333333333334
945867,16-25,male,majority,0-9y,university,medium,0.828628569053192,True,before 2015,False,False,10238,13000.0,sedan,0,0,0,True,7.697990982879299,1083.3333333333333
391880,65+,male,majority,30y+,none,medium,,True,before 2015,True,True,32765,10000.0,sedan,12,2,2,False,28.9751452913768,833.3333333333334
241973,65+,female,majority,30y+,high school,high,0.6293380939717407,True,before 2015,True,False,10238,11000.0,sedan,2,0,2,False,16.122128725400444,916.6666666666666
429503,16-25,male,majority,0-9y,high school,very low,0.28372421050714,False,before 2015,False,True,10238,15000.0,sedan,0,0,0,True,92.96976523425731,1250.0
810013,16-25,male,majority,0-9y,university,low,0.4576486815858435,True,after 2015,False,False,10238,14000.0,sports car,0,0,0,True,80.8120379564417,1166.6666666666667
663458,16-25,female,majority,0-9y,high school,very low,0.3049876423937953,False,before 2015,False,False,10238,15000.0,sedan,0,0,0,True,63.34037565104234,1250.0
879976,16-25,male,majority,0-9y,high school,low,0.5517442884135392,False,before 2015,True,True,32765,10000.0,sedan,0,0,0,True,87.14605901877177,833.3333333333334
418841,16-25,male,minority,0-9y,none,very low,0.3186855562451054,True,before 2015,True,False,32765,9000.0,sedan,0,0,0,True,80.36720768991145,750.0
542236,26-39,male,minority,10-19y,none,low,0.436944194154781,True,before 2015,False,False,10238,12000.0,sedan,3,0,0,False,18.657005888603585,1000.0
937573,40-64,male,majority,10-19y,university,high,0.6291939843221722,True,before 2015,True,True,32765,7000.0,sedan,5,0,1,False,89.25589984899777,583.3333333333334
670850,16-25,male,majority,0-9y,university,low,0.4055600158887265,True,before 2015,False,False,10238,17000.0,sedan,0,0,0,True,53.93422419156507,1416.6666666666667
151252,16-25,male,majority,0-9y,university,medium,0.6235462115803201,True,before 2015,True,False,10238,11000.0,sedan,0,0,0,False,80.74401551640625,916.6666666666666
706349,65+,male,majority,10-19y,university,high,0.7270329897821235,True,before 2015,True,True,10238,10000.0,sedan,1,1,2,False,89.60912999234932,833.3333333333334
602998,65+,male,majority,20-29y,none,low,0.426828388879915,True,before 2015,True,False,10238,14000.0,sedan,3,1,7,False,31.800347497186387,1166.6666666666667
242772,26-39,female,majority,10-19y,none,medium,0.5036589704487734,True,before 2015,False,True,10238,10000.0,sedan,1,2,0,False,11.005192452767677,833.3333333333334
393449,26-39,female,majority,10-19y,high school,medium,,False,before 2015,False,False,10238,12000.0,sedan,2,0,0,False,22.793516254194166,1000.0
380740,65+,male,majority,30y+,university,high,0.7264400018455291,True,after 2015,True,True,10238,7000.0,sedan,2,0,3,False,42.71077886262563,583.3333333333334
938115,16-25,female,majority,0-9y,none,very low,0.2444900931240796,False,before 2015,False,True,32765,,sedan,0,0,0,True,81.80147659224932,
727943,16-25,male,majority,0-9y,university,medium,0.5757707974509628,True,before 2015,False,False,10238,11000.0,sedan,0,0,0,True,86.07305832563435,916.6666666666666
766309,16-25,male,majority,0-9y,high school,very low,,False,before 2015,False,False,10238,10000.0,sports car,0,0,0,True,0.6952130531190703,833.3333333333334
261229,16-25,male,majority,0-9y,university,low,0.468671965728324,True,after 2015,False,True,32765,9000.0,sedan,0,0,0,True,51.07473025775657,750.0
60866,65+,male,majority,20-29y,university,high,0.6970834558464781,False,after 2015,False,True,10238,13000.0,sedan,3,0,2,False,41.7411003148779,1083.3333333333333
752797,40-64,female,majority,20-29y,high school,low,0.5429181079423034,True,before 2015,False,False,10238,15000.0,sedan,1,1,0,False,22.210781047073024,1250.0
45002,65+,male,majority,30y+,high school,high,0.6722562535141292,True,before 2015,True,True,10238,9000.0,sedan,4,1,2,False,11.98653673336828,750.0
482448,16-25,male,majority,0-9y,none,very low,0.3864066185703315,False,before 2015,False,False,32765,8000.0,sedan,0,0,0,True,33.7615171403628,666.6666666666666
549142,16-25,male,majority,0-9y,university,medium,0.5512978330713669,True,before 2015,True,True,10238,12000.0,sedan,0,0,0,True,94.29097039125192,1000.0
95138,40-64,male,majority,20-29y,high school,medium,0.5985570254244251,False,after 2015,True,False,10238,14000.0,sedan,4,1,4,False,32.320293202075526,1166.6666666666667
851152,26-39,female,majority,10-19y,none,low,,False,before 2015,True,True,10238,,sedan,0,0,1,False,51.87906217433661,
615991,40-64,female,majority,20-29y,high school,high,0.5824219946087406,True,after 2015,True,True,10238,11000.0,sedan,2,0,1,False,70.30189588951778,916.6666666666666
424820,26-39,female,minority,10-19y,high school,medium,0.540182723180248,True,before 2015,True,True,10238,,sedan,0,0,1,False,36.3629602379294,
807847,65+,male,majority,20-29y,university,high,0.6330139475122963,True,after 2015,False,True,10238,14000.0,sedan,3,1,4,False,97.17820827209607,1166.6666666666667
758983,40-64,male,majority,20-29y,high school,medium,0.552204630296896,True,after 2015,True,False,32765,12000.0,sedan,6,0,3,False,96.24472949421113,1000.0
987114,26-39,female,majority,0-9y,university,medium,0.3266816101781183,False,before 2015,False,False,10238,16000.0,sedan,0,0,0,True,25.178229582536417,1333.3333333333333
873457,40-64,male,minority,20-29y,high school,medium,0.5880825424047316,True,before 2015,True,True,10238,13000.0,sedan,7,1,1,False,49.72485058923854,1083.3333333333333
699703,65+,female,majority,0-9y,university,high,0.7022748020975709,False,before 2015,True,True,92101,10000.0,sedan,0,0,0,True,30.087830981676966,833.3333333333334
563342,65+,female,majority,0-9y,university,high,0.7266055391975765,True,before 2015,False,True,10238,13000.0,sedan,0,0,0,False,28.484049437746762,1083.3333333333333
504412,26-39,male,majority,10-19y,university,low,,False,before 2015,True,True,10238,12000.0,sedan,3,2,3,True,3.6886947354532795,1000.0
284106,65+,male,majority,30y+,university,high,0.73238212135242,True,before 2015,True,True,10238,12000.0,sedan,5,1,5,False,60.956433397989684,1000.0
78189,16-25,female,majority,0-9y,none,very low,0.2012839211827758,True,before 2015,False,False,32765,12000.0,sedan,0,0,0,True,50.26790232288615,1000.0
427520,26-39,male,majority,10-19y,university,medium,0.4641607076311848,False,before 2015,False,False,10238,16000.0,sedan,0,1,0,False,5.147875124998935,1333.3333333333333
689030,40-64,female,majority,20-29y,university,high,0.6579677428053038,True,after 2015,True,False,92101,13000.0,sedan,1,0,1,False,27.864646423661142,1083.3333333333333
966467,65+,male,majority,30y+,university,high,0.6002161554309658,True,before 2015,True,True,10238,13000.0,sedan,5,2,4,False,90.82658859666537,1083.3333333333333
288712,65+,male,majority,30y+,university,high,0.6663760181644964,True,after 2015,True,True,10238,12000.0,sedan,3,0,7,False,23.95618906669724,1000.0
228114,26-39,male,majority,0-9y,high school,low,0.4031472802313768,True,before 2015,True,True,10238,10000.0,sedan,0,0,0,False,14.48948720912231,833.3333333333334
63715,65+,male,majority,20-29y,university,high,0.4169350441301069,True,before 2015,False,True,10238,13000.0,sedan,5,1,5,False,48.9452760277563,1083.3333333333333
624077,65+,female,majority,30y+,none,high,0.5948797136778915,True,before 2015,True,True,32765,8000.0,sports car,10,0,1,False,98.56504541106007,666.6666666666666
726352,26-39,male,minority,10-19y,none,very low,0.3804265034620669,False,before 2015,True,True,10238,16000.0,sedan,1,0,1,False,24.20552715115004,1333.3333333333333
150072,16-25,female,majority,0-9y,none,very low,,False,before 2015,False,False,21217,14000.0,sedan,0,0,0,True,67.21355474058785,1166.6666666666667
792396,65+,female,majority,30y+,university,high,0.680617632406099,True,before 2015,True,True,10238,12000.0,sedan,1,2,2,False,76.16196153287176,1000.0
768933,40-64,male,minority,0-9y,high school,low,0.3559504699938693,True,before 2015,False,True,10238,16000.0,sedan,0,0,0,True,23.763754399239968,1333.3333333333333
452356,40-64,female,majority,10-19y,none,medium,,True,before 2015,False,True,32765,10000.0,sedan,2,0,0,False,72.82163486118596,833.3333333333334
849811,65+,female,minority,30y+,high school,high,0.587831426389767,True,after 2015,True,False,32765,,sports car,3,0,1,False,36.77831327192532,
579336,65+,female,majority,10-19y,university,high,0.5733880426029547,True,after 2015,True,True,10238,10000.0,sedan,0,0,2,False,63.23058305935795,833.3333333333334
648922,16-25,male,majority,0-9y,university,medium,0.2964062828237805,True,before 2015,False,False,10238,13000.0,sedan,0,0,0,True,63.35297107608947,1083.3333333333333
47909,65+,male,majority,10-19y,university,high,0.4295096986208441,True,before 2015,True,True,10238,10000.0,sedan,1,0,4,False,53.57746840747585,833.3333333333334
619577,65+,female,majority,30y+,university,high,0.6885687186194461,True,after 2015,False,True,92101,11000.0,sedan,2,0,0,False,9.02897700544083,916.6666666666666
212678,65+,female,majority,20-29y,university,high,0.700017431968704,True,after 2015,False,True,32765,13000.0,sedan,1,0,1,False,83.5302495589238,1083.3333333333333
579720,26-39,male,majority,10-19y,university,low,0.4495886310379405,False,before 2015,False,True,10238,,sports car,0,0,1,True,32.07800649717358,
995884,40-64,female,majority,20-29y,university,high,0.6900455818778344,True,after 2015,True,False,10238,11000.0,sedan,2,1,1,False,18.651851039985424,916.6666666666666
226326,40-64,female,minority,10-19y,university,low,0.4960298730510012,True,after 2015,False,False,10238,13000.0,sedan,0,0,1,False,4.077514155476392,1083.3333333333333
943922,26-39,male,majority,10-19y,university,high,0.6563457625165399,False,after 2015,True,True,32765,6000.0,sedan,8,0,0,False,59.08929431882418,500.0
510116,40-64,male,majority,0-9y,high school,medium,0.4983566259941653,True,after 2015,False,True,10238,12000.0,sedan,0,0,0,False,67.75643618422824,1000.0
536546,16-25,female,majority,0-9y,university,medium,0.5463825431033477,True,before 2015,True,True,10238,12000.0,sedan,0,0,0,False,1.6587828927856152,1000.0
75592,40-64,female,majority,10-19y,high school,low,0.3158628767091658,True,before 2015,False,True,10238,11000.0,sedan,0,0,1,False,51.2093058299281,916.6666666666666
487116,26-39,male,majority,10-19y,none,low,0.5300643171181573,True,before 2015,False,False,10238,,sedan,1,0,2,True,22.649577519793795,
936820,26-39,female,majority,10-19y,high school,low,0.3578391720711443,True,before 2015,False,True,32765,12000.0,sedan,1,0,0,True,64.51727904094498,1000.0
634050,65+,male,majority,10-19y,university,high,0.672756052841708,True,after 2015,True,True,10238,9000.0,sedan,1,0,2,False,17.436642900499145,750.0
307397,40-64,male,majority,20-29y,university,high,0.7419993760301162,True,after 2015,False,True,10238,,sedan,2,0,2,False,69.09377381024659,
558748,65+,female,majority,30y+,university,high,0.6226519789949738,True,after 2015,True,True,10238,11000.0,sedan,1,0,0,False,38.67353463005374,916.6666666666666
856630,16-25,female,majority,0-9y,high school,medium,0.4801406677163008,False,after 2015,False,False,32765,14000.0,sedan,0,0,0,True,93.67299887367345,1166.6666666666667
200009,65+,male,majority,30y+,university,high,0.6787954309829434,True,after 2015,True,True,10238,11000.0,sedan,5,1,3,False,13.752094414599325,916.6666666666666
784462,65+,male,majority,30y+,university,high,,True,before 2015,True,True,32765,10000.0,sedan,13,1,6,False,34.10663510502585,833.3333333333334
792252,40-64,female,majority,20-29y,university,high,0.5152467080125883,True,after 2015,False,True,10238,12000.0,sedan,2,0,1,False,11.347352124058908,1000.0
462586,26-39,male,majority,10-19y,none,low,0.4899205986325767,True,before 2015,False,True,10238,13000.0,sedan,3,0,1,False,92.46936182785628,1083.3333333333333
577965,65+,male,majority,30y+,high school,medium,0.4219579486132668,True,before 2015,False,True,10238,11000.0,sedan,4,0,6,False,87.7339353380981,916.6666666666666
